,calendarDate,isOpen,date
177,1991/6/14,1,1991-06-14
178,1991/6/15,0,1991-06-15
179,1991/6/16,0,1991-06-16
180,1991/6/17,1,1991-06-17
181,1991/6/18,1,1991-06-18
182,1991/6/19,1,1991-06-19
183,1991/6/20,1,1991-06-20
184,1991/6/21,1,1991-06-21
185,1991/6/22,0,1991-06-22
186,1991/6/23,0,1991-06-23
187,1991/6/24,1,1991-06-24
188,1991/6/25,1,1991-06-25
189,1991/6/26,1,1991-06-26
190,1991/6/27,1,1991-06-27
191,1991/6/28,1,1991-06-28
192,1991/6/29,0,1991-06-29
193,1991/6/30,0,1991-06-30
194,1991/7/1,1,1991-07-01
195,1991/7/2,1,1991-07-02
196,1991/7/3,1,1991-07-03
197,1991/7/4,1,1991-07-04
198,1991/7/5,1,1991-07-05
199,1991/7/6,0,1991-07-06
200,1991/7/7,0,1991-07-07
201,1991/7/8,1,1991-07-08
202,1991/7/9,1,1991-07-09
203,1991/7/10,1,1991-07-10
204,1991/7/11,1,1991-07-11
205,1991/7/12,1,1991-07-12
206,1991/7/13,0,1991-07-13
207,1991/7/14,0,1991-07-14
208,1991/7/15,1,1991-07-15
209,1991/7/16,1,1991-07-16
210,1991/7/17,1,1991-07-17
211,1991/7/18,1,1991-07-18
212,1991/7/19,1,1991-07-19
213,1991/7/20,0,1991-07-20
214,1991/7/21,0,1991-07-21
215,1991/7/22,1,1991-07-22
216,1991/7/23,1,1991-07-23
217,1991/7/24,1,1991-07-24
218,1991/7/25,1,1991-07-25
219,1991/7/26,1,1991-07-26
220,1991/7/27,0,1991-07-27
221,1991/7/28,0,1991-07-28
222,1991/7/29,1,1991-07-29
223,1991/7/30,1,1991-07-30
224,1991/7/31,1,1991-07-31
225,1991/8/1,1,1991-08-01
226,1991/8/2,1,1991-08-02
227,1991/8/3,0,1991-08-03
228,1991/8/4,0,1991-08-04
229,1991/8/5,1,1991-08-05
230,1991/8/6,1,1991-08-06
231,1991/8/7,1,1991-08-07
232,1991/8/8,1,1991-08-08
233,1991/8/9,1,1991-08-09
234,1991/8/10,0,1991-08-10
235,1991/8/11,0,1991-08-11
236,1991/8/12,1,1991-08-12
237,1991/8/13,1,1991-08-13
238,1991/8/14,1,1991-08-14
239,1991/8/15,1,1991-08-15
240,1991/8/16,1,1991-08-16
241,1991/8/17,0,1991-08-17
242,1991/8/18,0,1991-08-18
243,1991/8/19,1,1991-08-19
244,1991/8/20,1,1991-08-20
245,1991/8/21,1,1991-08-21
246,1991/8/22,1,1991-08-22
247,1991/8/23,1,1991-08-23
248,1991/8/24,0,1991-08-24
249,1991/8/25,0,1991-08-25
250,1991/8/26,1,1991-08-26
251,1991/8/27,1,1991-08-27
252,1991/8/28,1,1991-08-28
253,1991/8/29,1,1991-08-29
254,1991/8/30,1,1991-08-30
255,1991/8/31,0,1991-08-31
256,1991/9/1,0,1991-09-01
257,1991/9/2,1,1991-09-02
